"f2","f3","f4","f5","f13","f14","f31","f32","f108","f161","f249","f325","f333","f334"
492,13.94,60.2,498,11,"中证1000沽26年9月8100",488.6,498,702,8100,33.96,-0.8015,"中证1000",7691.37
142.8,13.69,17.2,468,11,"中证1000沽26年10月7200",143.2,145.8,1025,7200,31.9,-0.2205,"中证1000",7691.37
477.4,13.56,57,206,11,"中证1000沽26年10月7900",462.2,477.2,167,7900,33.63,-0.5885,"中证1000",7691.37
347.2,13.54,41.4,849,11,"中证1000沽26年10月7700",339.4,347,631,7700,32.03,-0.4797,"中证1000",7691.37
3.4,13.33,0.4,412,11,"上证50购26年9月3100",3.2,3.6,2135,3100,15.93,0.0705,"上证50",2941.82
387,13.29,45.4,"-",11,"沪深300沽26年11月4850",338.2,353.2,8,4850,29.16,-0.6962,"沪深300",4611.44
407.2,13.05,47,447,11,"中证1000沽26年10月7800",398,413,531,7800,32.55,-0.5348,"中证1000",7691.37
376.8,12.95,43.2,"-",11,"上证50沽26年11月3200",301.2,321.4,"-",3200,40.12,-0.857,"上证50",2941.82
121.6,12.59,13.6,184,11,"中证1000沽26年12月6400",115,123,2584,6400,35.62,-0.0843,"中证1000",7691.37
144.2,12.48,16,33,11,"中证1000沽26年11月6800",138.6,146.6,167,6800,34.19,-0.1405,"中证1000",7691.37
1658.8,12.4,183,"-",11,"中证1000沽27年6月8400",1489,1564.8,102,8400,46.66,-0.586,"中证1000",7691.37
946.8,12.37,104.2,"-",11,"中证1000沽26年11月8300",875.2,905.2,3,8300,40.67,-0.7024,"中证1000",7691.37
579,12.25,63.2,221,11,"中证1000沽26年9月8200",567.8,591.8,1302,8200,35.62,-0.8548,"中证1000",7691.37
546.2,12.02,58.6,115,11,"中证1000沽26年10月8000",526.2,548.8,433,8000,34.21,-0.64,"中证1000",7691.37
672,12,72,219,11,"中证1000沽26年9月8300",657.6,681.6,617,8300,38.01,-0.897,"中证1000",7691.37
622.8,11.73,65.4,33,11,"中证1000沽26年10月8100",598.8,628.8,55,8100,35.22,-0.6885,"中证1000",7691.37
427.2,11.6,44.4,"-",11,"沪深300沽26年11月4900",379.8,394.8,5,4900,29.96,-0.7366,"沪深300",4611.44
200.2,11.22,20.2,170,11,"中证1000沽26年12月6800",193.6,205.6,1624,6800,34.25,-0.17,"中证1000",7691.37
125.2,10.99,12.4,379,11,"中证1000沽26年11月6700",120.2,128.2,954,6700,34.59,-0.1155,"中证1000",7691.37
772,10.76,75,161,11,"中证1000沽26年9月8400",751.2,775.2,2059,8400,41.62,-0.9291,"中证1000",7691.37
620.8,10.66,59.8,"-",11,"沪深300沽26年11月5100",552,582,3,5100,36.32,-0.864,"沪深300",4611.44
155.2,10.54,14.8,183,11,"中证1000沽26年12月6600",156,160,1363,6600,34.77,-0.1226,"中证1000",7691.37
188.8,10.28,17.6,20,11,"中证1000沽26年11月7000",184.4,192.4,47,7000,33.35,-0.1993,"中证1000",7691.37
548,10.17,50.6,16,11,"中证1000沽26年11月7800",520,542.6,56,7800,34.62,-0.5118,"中证1000",7691.37
331.8,10.09,30.4,243,11,"中证1000沽26年12月7200",326.8,338.4,1643,7200,34.14,-0.289,"中证1000",7691.37
26.2,10.08,2.4,230,11,"上证50购26年10月3000",24.6,26.6,593,3000,11.51,0.3831,"上证50",2941.82
613.4,9.89,55.2,2,11,"中证1000沽26年11月7900",581.2,611.2,17,7900,35.18,-0.5527,"中证1000",7691.37
529,9.89,47.6,21,11,"中证1000沽27年6月6800",500,517,440,6800,36.4,-0.2473,"中证1000",7691.37
876,9.86,78.6,2,11,"中证1000沽26年10月8400",846.6,876.6,24,8400,39.04,-0.8109,"中证1000",7691.37
744,9.61,65.2,3,11,"中证1000沽26年11月8100",720.8,750.8,7,8100,35.68,-0.631,"中证1000",7691.37
50.4,9.57,4.4,2845,11,"上证50购26年9月2900",50.2,50.4,4522,2900,8.57,0.6722,"上证50",2941.82
364.2,9.24,30.8,48,11,"中证1000沽27年3月6800",350.2,369.8,800,6800,34.83,-0.2224,"中证1000",7691.37
248.6,9.23,21,35,11,"中证1000沽26年11月7200",244.4,252.4,36,7200,32.92,-0.2687,"中证1000",7691.37
215.8,9.21,18.2,20,11,"中证1000沽26年11月7100",212.4,220.4,62,7100,33.02,-0.2328,"中证1000",7691.37
692.2,9.18,58.2,81,11,"中证1000沽26年10月8200",678.4,708.4,90,8200,35.21,-0.7334,"中证1000",7691.37
257.6,9.15,21.6,293,11,"中证1000沽26年12月7000",254.6,263.8,1565,7000,33.99,-0.2259,"中证1000",7691.37
5,8.7,0.4,758,11,"中证1000沽26年9月6400",4.8,5,3534,6400,40.92,-0.0006,"中证1000",7691.37
325.8,8.67,26,24,11,"中证1000沽26年11月7400",317.4,332.4,54,7400,32.86,-0.3463,"中证1000",7691.37
519.2,8.48,40.6,207,11,"中证1000沽26年12月7600",510,529.6,1834,7600,34.7,-0.4286,"中证1000",7691.37
25.6,8.47,2,2979,11,"上证50购26年9月2950",25.6,26,3515,2950,11,0.4818,"上证50",2941.82
41,8.47,3.2,208,11,"上证50购26年10月2950",39.4,41.8,460,2950,10.28,0.502,"上证50",2941.82
773.4,8.38,59.8,44,11,"中证1000沽26年10月8300",760.6,790.6,50,8300,36.09,-0.7742,"中证1000",7691.37
478.8,8.37,37,"-",11,"沪深300购26年10月4150",428.4,442.4,18,4150,21.03,0.954,"沪深300",4611.44
301,7.96,22.2,231,11,"中证1000沽27年6月6200",297.4,301,1443,6200,35.35,-0.1409,"中证1000",7691.37
826.8,7.94,60.8,12,11,"中证1000沽26年11月8200",796.4,826.4,13,8200,36.89,-0.6677,"中证1000",7691.37
236.8,7.93,17.4,74,11,"中证1000沽27年3月6400",231,242,574,6400,34.61,-0.141,"中证1000",7691.37
286.2,7.92,21,"-",11,"沪深300沽26年11月4750",261,273.6,2,4750,24.76,-0.6067,"沪深300",4611.44
96.2,7.85,7,57,11,"上证50购26年10月2850",92.4,97.2,321,2850,3.85,0.7341,"上证50",2941.82
651.4,7.81,47.2,"-",11,"沪深300沽27年3月5000",589.6,629.2,320,5000,31.99,-0.6856,"沪深300",4611.44
282.8,7.77,20.4,23,11,"中证1000沽26年11月7300",277,292,43,7300,32.68,-0.3067,"中证1000",7691.37
335.8,7.7,24,"-",11,"上证50沽27年3月3100",297.8,318,183,3100,29.42,-0.632,"上证50",2941.82
160.6,7.64,11.4,65,11,"中证1000沽26年11月6900",159.8,167.8,208,6900,33.33,-0.1684,"中证1000",7691.37
1048.8,7.64,74.4,5,11,"中证1000沽26年10月8600",1023.2,1063,19,8600,41,-0.8714,"中证1000",7691.37
1191,7.59,84,4,11,"中证1000沽27年3月8200",1127,1207,468,8200,40.62,-0.5784,"中证1000",7691.37
1173.8,7.55,82.4,21,11,"中证1000沽26年9月8800",1134.8,1178.6,1136,8800,55.29,-0.9882,"中证1000",7691.37
131.6,7.52,9.2,608,11,"上证50购26年9月2800",130,132,1637,2800,0,0.9272,"上证50",2941.82
439.2,7.44,30.4,53,11,"中证1000沽27年3月7000",429.2,448.6,852,7000,34.85,-0.2692,"中证1000",7691.37
63.8,7.41,4.4,162,11,"上证50购26年10月2900",61.8,65.4,443,2900,8.74,0.6226,"上证50",2941.82
188.6,7.4,13,255,11,"中证1000沽27年3月6200",186.2,194.8,959,6200,34.71,-0.1077,"中证1000",7691.37
87.2,7.39,6,955,11,"上证50购26年9月2850",86.4,87.4,1449,2850,0,0.828,"上证50",2941.82
559,7.38,38.4,"-",11,"上证50沽27年6月3300",500,518.2,20,3300,33.88,-0.7528,"上证50",2941.82
848.6,7.31,57.8,147,11,"中证1000沽26年9月8500",847.4,871,734,8500,39.35,-0.9527,"中证1000",7691.37
367.4,7.3,25,89,11,"中证1000沽26年11月7500",362.4,371.6,162,7500,32.68,-0.3871,"中证1000",7691.37
775.4,7.19,52,54,11,"中证1000沽26年12月8000",760,796.2,1386,8000,36.69,-0.5702,"中证1000",7691.37
472.2,7.07,31.2,49,11,"中证1000沽26年11月7700",466.2,481.2,60,7700,33.13,-0.4703,"中证1000",7691.37
639,7.04,42,156,11,"中证1000沽26年12月7800",620,643,1596,7800,35.51,-0.5003,"中证1000",7691.37
56.2,6.84,3.6,36,11,"上证50购26年12月3000",56.4,56.8,2322,3000,12.01,0.4426,"上证50",2941.82
944.6,6.76,59.8,8,11,"中证1000沽26年10月8500",935.8,965.8,38,8500,38.11,-0.8432,"中证1000",7691.37
929.4,6.66,58,15,11,"中证1000沽26年12月8200",905,945,1041,8200,38.38,-0.6364,"中证1000",7691.37
356.4,6.64,22.2,"-",11,"上证50沽26年9月3250",318.2,326.8,18,3250,57.83,-0.9976,"上证50",2941.82
526.8,6.64,32.8,113,11,"中证1000沽27年3月7200",518.6,540,1340,7200,35.06,-0.319,"中证1000",7691.37
664.6,6.61,41.2,2,11,"中证1000沽26年11月8000",649,679,6,8000,34.54,-0.5925,"中证1000",7691.37
1236,6.59,76.4,13,11,"中证1000沽26年10月8800",1199.8,1258.4,80,8800,44.03,-0.9161,"中证1000",7691.37
405.6,6.57,25,230,11,"中证1000沽26年12月7400",405,413.8,1971,7400,33.54,-0.3573,"中证1000",7691.37
179,6.55,11,126,11,"上证50购26年9月2750",177.4,183,481,2750,0,0.9758,"上证50",2941.82
631,6.48,38.4,71,11,"中证1000沽27年3月7400",612.4,652.4,1223,7400,35.64,-0.3709,"中证1000",7691.37
414.4,6.42,25,98,11,"中证1000沽26年11月7600",411.8,426.8,136,7600,32.65,-0.4286,"中证1000",7691.37
293.2,6.39,17.6,161,11,"中证1000沽27年3月6600",293.8,303,2614,6600,34.54,-0.1794,"中证1000",7691.37
944.8,6.21,55.2,31,11,"中证1000沽27年6月7600",920.6,930,719,7600,37.97,-0.4172,"中证1000",7691.37
245.8,6.13,14.2,"-",11,"上证50沽26年11月3100",216.2,228.8,1,3100,28.2,-0.7379,"上证50",2941.82
143,6.08,8.2,1,11,"上证50购26年11月2800",132.8,145.6,13,2800,0,0.7711,"上证50",2941.82
876.8,5.97,49.4,27,11,"中证1000沽27年3月7800",859.4,897.8,560,7800,37.29,-0.4764,"中证1000",7691.37
3.6,5.88,0.2,1097,11,"中证1000沽26年9月6200",3.6,3.8,7585,6200,44.76,0,"中证1000",7691.37
1365,5.86,75.6,37,11,"中证1000沽26年9月9000",1332.8,1379.6,1016,9000,58.99,-0.9959,"中证1000",7691.37
940,5.86,52,126,11,"中证1000沽26年9月8600",948,971,1726,8600,39.98,-0.9694,"中证1000",7691.37
1507.8,5.86,83.4,6,11,"中证1000沽27年3月8600",1447.8,1527.2,385,8600,43,-0.671,"中证1000",7691.37
109.8,5.78,6,14,11,"上证50购26年11月2850",104,110.6,15,2850,7.93,0.6924,"上证50",2941.82
290.4,5.75,15.8,"-",11,"上证50沽26年11月3150",258.8,272.4,1,3150,30.19,-0.8034,"上证50",2941.82
510.4,5.72,27.6,"-",11,"上证50沽27年3月3300",468.4,488.6,57,3300,34.28,-0.8096,"上证50",2941.82
3.8,5.56,0.2,341,11,"中证1000沽26年9月6300",3.6,3.8,1864,6300,42.17,-0.0002,"中证1000",7691.37
3.8,5.56,0.2,29,11,"沪深300购26年10月5200",3.6,3.8,479,5200,17.94,0.0359,"沪深300",4611.44
700.2,5.55,36.8,19,11,"中证1000沽27年6月7200",683.8,723.8,639,7200,36.31,-0.3302,"中证1000",7691.37
1570.4,5.52,82.2,15,11,"中证1000沽26年9月9200",1532.6,1580.6,473,9200,66.19,-0.9987,"中证1000",7691.37
169,5.49,8.8,8,11,"沪深300沽27年3月4300",154.6,165.8,341,4300,23.64,-0.2629,"沪深300",4611.44
1392.6,5.42,71.6,4,11,"中证1000沽27年6月8200",1329,1407,121,8200,41.59,-0.5456,"中证1000",7691.37
1125.2,5.38,57.4,1,11,"中证1000沽26年10月8700",1106.8,1163,42,8700,40.48,-0.8956,"中证1000",7691.37
4,5.26,0.2,28,11,"上证50购26年10月3300",3.6,4,381,3300,18.98,0.0221,"上证50",2941.82
2196,5.2,108.6,"-",11,"中证1000沽26年9月9800",2119.8,2186.4,327,9800,89.45,-0.9999,"中证1000",7691.37
1011.2,5.18,49.8,"-",11,"沪深300沽27年3月5400",950.6,986.6,213,5400,37.88,-0.854,"沪深300",4611.44
599.4,5.12,29.2,37,11,"中证1000沽27年6月7000",591,619.8,587,7000,35.87,-0.2879,"中证1000",7691.37
1674,4.99,79.6,14,11,"中证1000沽27年3月8800",1620.2,1699.6,280,8800,44.23,-0.7125,"中证1000",7691.37
42.8,4.9,2,2,11,"上证50购26年11月3000",40.8,44,19,3000,11.63,0.4236,"上证50",2941.82
1077.4,4.85,49.8,2,11,"中证1000沽26年12月8400",1061.2,1106.2,585,8400,39.23,-0.6972,"中证1000",7691.37
1767.6,4.73,79.8,9,11,"中证1000沽26年9月9400",1731.4,1779.4,403,9400,70.83,-0.9996,"中证1000",7691.37
173,4.72,7.8,78,11,"上证50购26年10月2750",170,177.8,52,2750,0,0.8976,"上证50",2941.82
1040,4.71,46.8,103,11,"中证1000沽26年9月8700",1043,1070,253,8700,42.92,-0.9807,"中证1000",7691.37
213.6,4.71,9.6,3,11,"上证50购26年12月2700",205.4,208.2,550,2700,0,0.8614,"上证50",2941.82
116.4,4.68,5.2,1,11,"上证50沽27年3月2800",102.8,109.6,555,2800,21.99,-0.2943,"上证50",2941.82
736.6,4.63,32.6,20,11,"中证1000沽27年3月7600",730.6,770.6,642,7600,35.88,-0.4237,"中证1000",7691.37
353.2,4.62,15.6,62,11,"中证1000沽27年6月6400",347.8,367.8,965,6400,34.92,-0.1733,"中证1000",7691.37
1845,4.58,80.8,11,11,"中证1000沽27年3月9000",1797.4,1872.4,82,9000,45.49,-0.7505,"中证1000",7691.37
1226.8,4.55,53.4,4,11,"中证1000沽27年6月8000",1178,1257,320,8000,40,-0.5038,"中证1000",7691.37
490.8,4.51,21.2,"-",11,"沪深300沽26年11月5000",467.6,482.6,3,5000,29.02,-0.8073,"沪深300",4611.44
1611.8,4.43,68.4,5,11,"中证1000沽26年12月9000",1577.2,1656,975,9000,45.37,-0.8405,"中证1000",7691.37
330,4.36,13.8,64,11,"上证50购26年9月2600",324.2,332.8,226,2600,0,0.9998,"上证50",2941.82
227.2,4.32,9.4,81,11,"上证50购26年9月2700",225.6,231.6,277,2700,0,0.9938,"上证50",2941.82
2420,4.18,97,1,11,"中证1000沽27年6月9400",2313.6,2467.2,33,9400,49.1,-0.7569,"中证1000",7691.37
419.8,4.17,16.8,50,11,"中证1000沽27年6月6600",419.8,430,457,6600,34.9,-0.2089,"中证1000",7691.37
40.2,4.15,1.6,11,11,"上证50购27年3月3200",40,42,306,3200,13.79,0.2705,"上证50",2941.82
824.6,4.12,32.6,34,11,"中证1000沽27年6月7400",798.6,837.2,639,7400,37.37,-0.3735,"中证1000",7691.37
1075,4.11,42.4,41,11,"中证1000沽27年6月7800",1047.6,1092.6,533,7800,38.7,-0.4608,"中证1000",7691.37
367,4.02,14.2,"-",11,"上证50沽27年6月3100",329.6,349.8,61,3100,27.92,-0.5934,"上证50",2941.82
208,4,8,17,11,"沪深300沽26年11月4650",197.2,205.2,34,4650,22.4,-0.5092,"沪深300",4611.44
21.6,3.85,0.8,10,11,"上证50购27年3月3400",21.2,22.6,828,3400,15.83,0.1283,"上证50",2941.82
5.4,3.85,0.2,599,11,"上证50购26年9月3050",5.2,5.4,1917,3050,13.66,0.1577,"上证50",2941.82
2201.8,3.65,77.6,11,11,"中证1000沽27年3月9400",2123,2276.4,35,9400,48.24,-0.8158,"中证1000",7691.37
11.4,3.64,0.4,2270,11,"上证50购26年9月3000",11.2,11.4,5784,3000,12.16,0.2985,"上证50",2941.82
131.2,3.63,4.6,76,11,"上证50购26年10月2800",129.8,132,163,2800,0,0.8273,"上证50",2941.82
216.4,3.54,7.4,235,11,"沪深300沽26年9月4800",210.6,214.2,1196,4800,23.13,-0.8302,"沪深300",4611.44
1232.2,3.53,42,21,11,"中证1000沽26年9月8900",1233,1278.4,247,8900,45.77,-0.993,"中证1000",7691.37
1868.6,3.52,63.6,2,11,"中证1000沽27年6月8800",1826.2,1892.6,178,8800,44.55,-0.6611,"中证1000",7691.37
154.8,3.48,5.2,3,11,"上证50沽27年6月2800",139.4,147,175,2800,22.56,-0.3115,"上证50",2941.82
2377.4,3.39,78,2,11,"中证1000沽26年12月9800",2320.4,2417.8,296,9800,54.22,-0.9439,"中证1000",7691.37
1847.8,3.37,60.2,3,11,"中证1000沽26年9月9500",1831.8,1879.8,194,9500,66.92,-0.9997,"中证1000",7691.37
618.6,3.34,20,3,11,"沪深300沽27年6月4900",586.6,627.2,78,4900,29.03,-0.5921,"沪深300",4611.44
124.6,3.32,4,66,11,"上证50购27年6月2900",118.6,130.4,350,2900,8.26,0.595,"上证50",2941.82
288,3.3,9.2,4,11,"上证50购27年6月2600",276.4,296.6,59,2600,0,0.8464,"上证50",2941.82
137.8,3.3,4.4,11,11,"上证50购26年12月2800",135,146.6,906,2800,0,0.7459,"上证50",2941.82
220,3.29,7,54,11,"上证50购26年10月2700",217.4,219.6,119,2700,0,0.945,"上证50",2941.82
2382.2,3.24,74.8,5,11,"中证1000沽27年3月9600",2300.8,2456,31,9600,49.52,-0.8432,"中证1000",7691.37
1639.4,3.24,51.4,"-",11,"中证1000沽26年9月9300",1628.6,1676.6,279,9300,58.82,-0.9992,"中证1000",7691.37
319,3.24,10,"-",11,"沪深300沽27年3月4600",300.6,320.2,339,4600,25.06,-0.4465,"沪深300",4611.44
59,3.15,1.8,7,11,"上证50购26年11月2950",55.4,62,11,2950,10.71,0.514,"上证50",2941.82
1431.6,3.08,42.8,42,11,"中证1000沽26年9月9100",1427.8,1475.8,215,9100,50.71,-0.9977,"中证1000",7691.37
1298.8,3.08,38.8,3,11,"中证1000沽27年3月8400",1281.6,1361.6,329,8400,39.68,-0.6262,"中证1000",7691.37
2357,3.04,69.6,26,11,"中证1000沽26年9月10000",2318,2388,787,10000,82.23,-0.9999,"中证1000",7691.37
150.2,3.02,4.4,8,11,"沪深300沽27年6月4100",144.4,155.2,101,4100,23.41,-0.1942,"沪深300",4611.44
385,3,11.2,17,11,"上证50购26年12月2500",376.8,393.4,147,2500,0,0.9765,"上证50",2941.82
385.4,2.99,11.2,"-",11,"沪深300沽27年3月4700",367.4,386,211,4700,26,-0.5099,"沪深300",4611.44
86.2,2.86,2.4,51,11,"上证50购26年12月2900",86,90.8,928,2900,8.86,0.5994,"上证50",2941.82
181.4,2.83,5,19,11,"沪深300沽26年10月4700",174.4,182.4,149,4700,20.77,-0.5941,"沪深300",4611.44
2161,2.8,58.8,33,11,"中证1000沽26年12月9600",2135.6,2225.4,628,9600,50.4,-0.9258,"中证1000",7691.37
44.4,2.78,1.2,"-",11,"上证50购27年6月3300",42.6,45.6,102,3300,14.17,0.2471,"上证50",2941.82
195.6,2.73,5.2,"-",11,"上证50沽26年11月3050",174.8,187.6,3,3050,24.89,-0.6615,"上证50",2941.82
363.2,2.66,9.4,26,11,"上证50购26年10月2550",358.6,369.4,19,2550,0,0.9957,"上证50",2941.82
2039.8,2.64,52.4,3,11,"中证1000沽26年9月9700",2029.6,2077.6,188,9700,68.62,-0.9999,"中证1000",7691.37
7.8,2.63,0.2,169,11,"上证50购26年10月3150",7.6,8,423,3150,14.85,0.12,"上证50",2941.82
226.4,2.63,5.8,3,11,"沪深300沽27年6月4300",219.4,231.8,503,4300,23.89,-0.2844,"沪深300",4611.44
1936.6,2.61,49.2,12,11,"中证1000沽26年9月9600",1929.4,1977.4,490,9600,64.95,-0.9998,"中证1000",7691.37
2756,2.55,68.4,9,11,"中证1000沽27年3月10000",2682.2,2835.8,78,10000,52.38,-0.8883,"中证1000",7691.37
1176.8,2.51,28.8,"-",11,"沪深300沽27年3月5600",1116.2,1196,268,5600,38.91,-0.9071,"沪深300",4611.44
260.4,2.44,6.2,53,11,"沪深300沽26年9月4850",255.6,260.6,376,4850,24.36,-0.887,"沪深300",4611.44
308.6,2.39,7.2,55,11,"沪深300沽26年9月4900",301.4,311.4,778,4900,26.72,-0.9284,"沪深300",4611.44
444.6,2.35,10.2,"-",11,"上证50沽26年9月3350",417.2,426.8,23,3350,60.93,-0.9998,"上证50",2941.82
263,2.33,6,3,11,"上证50购26年10月2650",261.6,271.4,15,2650,0,0.9734,"上证50",2941.82
175.6,2.33,4,13,11,"沪深300沽26年11月4600",168.2,176.2,71,4600,21.66,-0.459,"沪深300",4611.44
2549.6,2.19,54.6,31,11,"中证1000沽27年3月9800",2491,2645.2,38,9800,50.05,-0.8673,"中证1000",7691.37
2547.2,2.11,52.6,40,11,"中证1000沽26年12月10000",2517,2616.8,588,10000,54.43,-0.9581,"中证1000",7691.37
1113.2,2.07,22.6,1,11,"中证1000沽26年11月8600",1113.6,1173.6,3,8600,36.9,-0.7933,"中证1000",7691.37
494.2,2.02,9.8,"-",11,"上证50沽26年9月3400",467,477.4,340,3400,64.98,-0.9999,"上证50",2941.82
407.2,2,8,"-",11,"沪深300购26年11月4200",383.4,398.4,5,4200,0,0.8774,"沪深300",4611.44
51.6,1.98,1,"-",11,"沪深300购26年11月4850",46.8,48,19,4850,15.28,0.3037,"沪深300",4611.44
219,1.96,4.2,5,11,"上证50购27年6月2700",214.8,227,98,2700,0,0.7738,"上证50",2941.82
171,1.91,3.2,154,11,"沪深300沽26年9月4750",167.2,171.6,495,4750,20.93,-0.7569,"沪深300",4611.44
21.8,1.87,0.4,33,11,"上证50购26年12月3200",21.2,22,1038,3200,15.05,0.1844,"上证50",2941.82
121.2,1.85,2.2,2,11,"沪深300购27年6月4900",112.6,123,149,4900,13.15,0.4078,"沪深300",4611.44
56.4,1.81,1,2,11,"沪深300购27年6月5400",54.2,55.2,152,5400,16.15,0.2032,"沪深300",4611.44
274.4,1.78,4.8,33,11,"沪深300沽27年6月4400",263.8,274.4,621,4400,24.33,-0.3342,"沪深300",4611.44
1215,1.72,20.6,"-",11,"中证1000沽26年12月8600",1220.2,1261,1110,8600,38.97,-0.7518,"中证1000",7691.37
119.6,1.7,2,70,11,"沪深300沽26年12月4400",111,123.2,1436,4400,21.87,-0.2887,"沪深300",4611.44
355,1.66,5.8,23,11,"沪深300沽26年12月4800",338.8,358.4,639,4800,25.44,-0.6242,"沪深300",4611.44
258.4,1.65,4.2,2,11,"上证50购26年11月2650",253,265,"-",2650,0,0.9317,"上证50",2941.82
143,1.56,2.2,1,11,"沪深300购27年6月4800",134.2,145,225,4800,12.4,0.4576,"沪深300",4611.44
390.4,1.56,6,"-",11,"上证50沽26年9月3300",367.8,377,182,3300,54.12,-0.9994,"上证50",2941.82
