"f2","f3","f4","f5","f13","f14","f31","f32","f108","f161","f249","f325","f333","f334"
124.2,47.51,40,741,11,"中证1000购26年9月9400",124.2,125,1682,9400,22.89,0.2076,"中证1000",8521.23
58.4,47.47,18.8,238,11,"沪深300购26年8月5100",58.8,60.2,372,5100,15.65,0.2846,"沪深300",4891.71
76.4,46.92,24.4,467,11,"中证1000购26年9月9800",75.2,76.4,1187,9800,24.08,0.1157,"中证1000",8521.23
94.6,45.99,29.8,160,11,"沪深300购26年8月4950",97.4,100.4,183,4950,13.77,0.4551,"沪深300",4891.71
872.2,45.42,272.4,384,11,"中证1000购26年6月7600",870,886.4,1204,7600,0,0.9999,"中证1000",8521.23
205,45.39,64,1258,11,"中证1000购26年9月9000",205,207,2744,9000,21.76,0.3386,"中证1000",8521.23
18,45.16,5.6,693,11,"上证50购26年7月3050",18.2,18.4,778,3050,15.67,0.186,"上证50",2938.65
62.4,45.12,19.4,1353,11,"中证1000购26年9月10000",61.8,62.6,3371,10000,24.91,0.0835,"中证1000",8521.23
96.8,44.91,30,963,11,"中证1000购26年9月9600",99.2,99.8,2369,9600,23.45,0.1568,"中证1000",8521.23
158.2,44.87,49,960,11,"中证1000购26年9月9200",160.8,163.6,2065,9200,22.23,0.2684,"中证1000",8521.23
120,44.58,37,920,11,"沪深300购26年9月5000",119.6,120,2421,5000,16.02,0.4205,"沪深300",4891.71
320.6,44.54,98.8,645,11,"沪深300购26年6月4550",328.2,330.8,325,4550,0,0.9994,"沪深300",4891.71
338.2,43.43,102.4,256,11,"中证1000购26年8月8400",341.2,355.4,218,8400,18,0.5899,"中证1000",8521.23
8.6,43.33,2.6,766,11,"中证1000购26年7月9900",8.4,8.6,1774,9900,26.41,0.0109,"中证1000",8521.23
10.6,43.24,3.2,54,11,"上证50购26年8月3300",10,10.6,138,3300,19.46,0.0242,"上证50",2938.65
138.4,42.98,41.6,1103,11,"上证50购26年6月2800",137.8,140.8,649,2800,0,0.9939,"上证50",2938.65
441.6,42.64,132,142,11,"中证1000购26年8月8200",444.2,456.8,251,8200,16.21,0.6878,"中证1000",8521.23
44.2,42.58,13.2,829,11,"沪深300购26年9月5400",43.8,44.4,4672,5400,19.16,0.1169,"沪深300",4891.71
665,42.4,198,140,11,"中证1000购26年7月7800",664.6,694.6,336,7800,0,0.9239,"中证1000",8521.23
384.8,42.2,114.2,169,11,"中证1000购26年8月8300",390.4,404,112,8300,17.02,0.6397,"中证1000",8521.23
151.6,41.68,44.6,279,11,"沪深300购26年9月4900",150,151.6,1404,4900,14.77,0.5236,"沪深300",4891.71
160,41.59,47,74,11,"沪深300购26年8月4800",156.2,164.2,137,4800,12.04,0.6397,"沪深300",4891.71
309,41.48,90.6,236,11,"沪深300购26年7月4550",301.8,316.8,139,4550,0,0.9491,"沪深300",4891.71
503.6,41.46,147.6,86,11,"中证1000购26年8月8100",500,515,104,8100,15.11,0.7334,"中证1000",8521.23
254,41.11,74,885,11,"中证1000购26年9月8800",254,260.6,2730,8800,20.67,0.4167,"中证1000",8521.23
132.6,41.06,38.6,85,11,"沪深300购26年8月4850",132.6,140.6,167,4850,12.41,0.5789,"沪深300",4891.71
197.2,41.06,57.4,447,11,"沪深300购26年9月4800",191.4,197.2,1808,4800,13.83,0.6272,"沪深300",4891.71
64.6,41.05,18.8,2373,11,"上证50购26年7月2900",63.4,64.6,3008,2900,11.49,0.6492,"上证50",2938.65
761,40.46,219.2,119,11,"中证1000购26年7月7700",748.6,777,114,7700,0,0.9488,"中证1000",8521.23
1.4,40,0.4,453,11,"中证1000购26年6月9800",1.2,1.4,3244,9800,39.13,0,"中证1000",8521.23
1.4,40,0.4,1272,11,"中证1000购26年6月9600",1.4,1.6,2494,9600,34.05,0.0001,"中证1000",8521.23
