"f2","f14","f18","f31","f32","f108","f161","f163","f249","f250","f301","f303","f325","f326","f328","f333","f334"
0.0023,"XD50ETF沽1月2776A",0.0046,0.0022,0.0023,8454,2.776,-624,15.92,9.3,20260128,18.88,-0.0142,0.2616,-0.0207,"XD上证50ETF",3.058
0.0004,"XD50ETF沽12月2850",0.0008,0.0002,0.0005,962,2.85,"-",21.09,6.81,20251224,0,0,0.0093,-0.0007,"XD上证50ETF",3.058
0.0003,"XD50ETF购12月3300",0.0006,0.0002,0.0004,554,3.3,"-",21.88,7.92,20251224,1.02,0.0001,0.0038,-0.0002,"XD上证50ETF",3.058
0.0003,"XD50ETF沽12月2776A",0.0006,0.0001,0.0003,17127,2.776,-626,26.56,9.23,20251224,0,0,0,0,"XD上证50ETF",3.058
0.0003,"XD50ETF沽12月2728A",0.0005,0.0002,0.0004,15621,2.728,-147,31.25,10.8,20251224,0,0,0,0,"XD上证50ETF",3.058
0.0001,"XD50ETF沽12月2582A",0.0002,0.0001,0.0002,8518,2.582,-91,40.63,15.57,20251224,0,0,0,0,"XD上证50ETF",3.058
0.0006,"XD50ETF沽12月2900",0.0017,0.0004,0.0006,2127,2.9,"-",17.58,5.19,20251224,15.29,-0.003,0.1579,-0.0127,"XD上证50ETF",3.058
0.0002,"XD50ETF购12月3312A",0.0006,0.0002,0.0004,28119,3.312,-1118,21.88,8.31,20251224,0,0,0.0018,0,"XD上证50ETF",3.058
0.0001,"XD50ETF沽12月2630A",0.0003,0.0001,0.0004,16850,2.63,-302,34.38,14,20251224,0,0,0,0,"XD上证50ETF",3.058
0.0075,"XD50ETF沽12月3020A",0.024,0.0071,0.0076,81736,3.02,-19405,12.01,1.49,20251224,103.32,-0.2534,5.3505,-0.4265,"XD上证50ETF",3.058
0.0012,"XD50ETF沽12月2950",0.0041,0.0011,0.0013,3301,2.95,"-",14.45,3.57,20251224,79.51,-0.0312,1.1773,-0.0948,"XD上证50ETF",3.058
0.0041,"XD50ETF沽12月3000",0.0154,0.0041,0.0042,11252,3,"-",12.4,2.03,20251224,117.7,-0.1578,4.0314,-0.3227,"XD上证50ETF",3.058
0.0001,"XD50ETF购12月3400",0.0004,0.0001,0.0004,538,3.4,"-",25,11.19,20251224,0,0,0,0,"XD上证50ETF",3.058
0.0001,"XD50ETF沽12月2679A",0.0004,0.0001,0.0004,11106,2.679,-193,31.25,12.4,20251224,0,0,0,0,"XD上证50ETF",3.058
0.0006,"XD50ETF沽12月2923A",0.0026,0.0005,0.0006,66441,2.923,-7948,15.63,4.43,20251224,49.44,-0.0097,0.4393,-0.0354,"XD上证50ETF",3.058
0.0001,"XD50ETF沽12月2874A",0.001,0.0001,0.0003,29984,2.874,-1487,15.63,6.02,20251224,18.35,-0.0006,0.0403,-0.0032,"XD上证50ETF",3.058
0.035,"300ETF购12月4700",0.0135,0.0349,0.035,84539,4.7,-40538,12.55,0.77,20251224,67.91,0.5058,3.7599,-0.9959,"沪深300ETF",4.699
0.0079,"300ETF购12月4800",0.0035,0.0078,0.0079,76696,4.8,-17285,13.92,2.32,20251224,106.65,0.1793,2.4676,-0.6444,"沪深300ETF",4.699
0.1044,"300ETF购12月4600",0.0494,0.1044,0.1045,48849,4.6,-14913,11.67,0.11,20251224,37.51,0.8333,2.3557,-0.6546,"沪深300ETF",4.699
0.0002,"300ETF沽12月3423A",0.0001,0.0001,0.0002,12473,3.423,0,71.88,27.16,20251224,0,0,0,0,"沪深300ETF",4.699
0.0042,"300ETF购1月5250",0.0023,0.004,0.0044,9119,5.25,2669,17.63,11.82,20260128,21.93,0.0196,0.1933,-0.0507,"沪深300ETF",4.699
0.0139,"300ETF购1月5000",0.0077,0.0138,0.0139,18370,5,1417,14.75,6.7,20260128,43.64,0.1291,0.8561,-0.2275,"沪深300ETF",4.699
0.0257,"300ETF购1月4900",0.0144,0.0257,0.026,22916,4.9,-8775,13.96,4.82,20260128,41.74,0.2283,1.2293,-0.3292,"沪深300ETF",4.699
0.0017,"300ETF购12月4900",0.0011,0.0017,0.0019,44797,4.9,-2670,15.82,4.31,20251224,92.6,0.0335,0.7032,-0.1825,"沪深300ETF",4.699
0.049,"300ETF购1月4800",0.0291,0.0488,0.049,19091,4.8,826,13.55,3.19,20260128,34.8,0.3629,1.5253,-0.4131,"沪深300ETF",4.699
0.197,"300ETF购12月4500",0.1225,0.197,0.1978,13127,4.5,-1851,0,-0.04,20251224,23.23,0.9738,0.5721,-0.2041,"沪深300ETF",4.699
0.0093,"300ETF购3月5750",0.0059,0.0093,0.0094,14740,5.75,-160,21.68,22.56,20260325,3.54,0.007,0.0522,-0.0137,"沪深300ETF",4.699
0.0878,"300ETF购1月4700",0.0559,0.0878,0.088,31453,4.7,-2560,13.16,1.89,20260128,27.86,0.5206,1.6198,-0.4465,"沪深300ETF",4.699
0.0003,"300ETF购12月5750",0.0003,0.0002,0.0003,7066,5.75,-214,48.44,22.37,20251224,0,0,0,0,"沪深300ETF",4.699
0.0003,"300ETF购12月5500",0.0002,0.0002,0.0003,7631,5.5,-609,39.06,17.05,20251224,0,0,0,0,"沪深300ETF",4.699
0.1452,"300ETF购1月4600",0.0981,0.1452,0.146,13269,4.6,-1124,12.79,0.98,20260128,21.94,0.6781,1.4575,-0.4138,"沪深300ETF",4.699
0.0148,"300ETF购3月5500",0.0101,0.0147,0.0152,13499,5.5,-569,19.56,17.36,20260325,9.18,0.0289,0.1767,-0.047,"沪深300ETF",4.699
0.028,"300ETF购3月5250",0.0194,0.028,0.0284,13141,5.25,1265,17.79,12.32,20260325,15.91,0.0948,0.4523,-0.1217,"沪深300ETF",4.699
0.2155,"300ETF购1月4500",0.158,0.2157,0.218,3642,4.5,-99,10.86,0.35,20260128,17.69,0.8112,1.099,-0.329,"沪深300ETF",4.699
0.0581,"300ETF购3月5000",0.0433,0.0576,0.0588,24494,5,19,16.1,7.64,20260325,19.64,0.2428,0.8383,-0.2294,"沪深300ETF",4.699
0.293,"300ETF购12月4400",0.217,0.2878,0.293,4368,4.4,-678,0,-0.13,20251224,16.01,0.9983,0.0505,-0.0704,"沪深300ETF",4.699
0.0796,"300ETF购3月4900",0.0603,0.0792,0.0801,15440,4.9,785,15.52,5.97,20260325,19.42,0.3289,0.9691,-0.268,"沪深300ETF",4.699
0.3003,"300ETF购1月4400",0.23,0.299,0.304,1914,4.4,-83,0,0.03,20260128,14.16,0.9052,0.6862,-0.2277,"沪深300ETF",4.699
0.109,"300ETF购3月4800",0.084,0.1088,0.109,13866,4.8,-112,14.95,4.47,20260325,18.42,0.4273,1.0511,-0.2946,"沪深300ETF",4.699
0.1482,"300ETF购3月4700",0.1157,0.1488,0.1499,11244,4.7,293,14.39,3.18,20260325,16.89,0.5326,1.0654,-0.3042,"沪深300ETF",4.699
0.1992,"300ETF购3月4600",0.1581,0.1982,0.199,19990,4.6,2,13.87,2.13,20260325,15.05,0.6378,1.0045,-0.2943,"沪深300ETF",4.699
0.3954,"300ETF购12月4303A",0.3089,0.3886,0.3956,591,4.303,-1,0,-0.01,20251224,11.88,1,0.0017,-0.0567,"沪深300ETF",4.699
0.2598,"300ETF购3月4500",0.2063,0.2579,0.262,4470,4.5,359,12.98,1.29,20260325,13.3,0.7354,0.8769,-0.2667,"沪深300ETF",4.699
0.3976,"300ETF购1月4300",0.3181,0.3902,0.3982,1392,4.3,118,0,-0.03,20260128,11.35,0.96,0.3502,-0.1436,"沪深300ETF",4.699
0.3918,"300ETF购12月4300",0.3136,0.3919,0.3989,2827,4.3,-116,0,-0.15,20251224,11.99,1,0.0015,-0.0566,"沪深300ETF",4.699
0.3291,"300ETF购3月4400",0.2674,0.328,0.3346,3928,4.4,32,11.04,0.64,20260325,11.7,0.8192,0.7051,-0.2268,"沪深300ETF",4.699
0.4126,"300ETF购3月4300",0.3372,0.406,0.4142,3241,4.3,68,0,0.29,20260325,10.08,0.8853,0.5193,-0.182,"沪深300ETF",4.699
0.0006,"300ETF购12月5250",0.0005,0.0005,0.0007,20189,5.25,-163,31.25,11.74,20251224,0,0,0,0,"沪深300ETF",4.699
0.4932,"300ETF购12月4205A",0.4061,0.4863,0.4937,541,4.205,-20,0,-0.02,20251224,9.53,1,0,-0.055,"沪深300ETF",4.699
0.2195,"300ETF购6月4700",0.184,0.2174,0.2218,2408,4.7,76,15.11,4.69,20260624,11.68,0.5458,0.7665,-0.2274,"沪深300ETF",4.699
0.4971,"300ETF购12月4200",0.4137,0.4917,0.495,1070,4.2,-153,0,-0.04,20251224,9.45,1,0,-0.0549,"沪深300ETF",4.699
0.2653,"300ETF购6月4600",0.2245,0.2634,0.2687,1310,4.6,102,14.5,3.54,20260624,11.02,0.6219,0.7353,-0.2234,"沪深300ETF",4.699
0.4979,"300ETF购3月4200",0.4211,0.4918,0.5017,1896,4.2,43,0,-0.02,20260325,8.8,0.9329,0.3481,-0.1398,"沪深300ETF",4.699
0.1461,"300ETF购6月4900",0.1229,0.1442,0.1472,2308,4.9,-60,15.98,7.39,20260624,12.74,0.396,0.7452,-0.2138,"沪深300ETF",4.699
0.1775,"300ETF购6月4800",0.1502,0.1776,0.1812,2078,4.8,-151,15.42,5.93,20260624,12.43,0.4696,0.7694,-0.2241,"沪深300ETF",4.699
0.49,"300ETF购1月4200",0.4078,0.4864,0.4946,523,4.2,26,0,-0.19,20260128,9.46,0.9861,0.1441,-0.091,"沪深300ETF",4.699
0.1168,"300ETF购6月5000",0.0984,0.1168,0.118,3874,5,483,16.24,8.89,20260624,13.17,0.3273,0.6982,-0.1979,"沪深300ETF",4.699
0.453,"300ETF购6月4300",0.3884,0.4459,0.4549,2874,4.3,-84,11.77,1.15,20260624,8.53,0.8221,0.5038,-0.1736,"沪深300ETF",4.699
0.5929,"300ETF购12月4107A",0.509,0.5838,0.5916,804,4.107,8,0,0.02,20251224,7.93,1,0,-0.0537,"沪深300ETF",4.699
0.3187,"300ETF购6月4500",0.2717,0.3178,0.3242,1164,4.5,-3,13.75,2.55,20260624,10.25,0.6951,0.6774,-0.2122,"沪深300ETF",4.699
0.53,"300ETF购6月4200",0.462,0.5201,0.5303,371,4.2,11,8.4,0.66,20260624,7.73,0.8723,0.4041,-0.15,"沪深300ETF",4.699
0.3805,"300ETF购6月4400",0.33,0.3779,0.3855,1234,4.4,79,12.81,1.73,20260624,9.42,0.7625,0.5978,-0.195,"沪深300ETF",4.699
0.5979,"300ETF购12月4100",0.5103,0.5911,0.5989,1404,4.1,-152,0,-0.02,20251224,7.86,1,0,-0.0536,"沪深300ETF",4.699
0.0687,"300ETF购6月5250",0.0603,0.0683,0.0687,5147,5.25,-32,17.18,13.19,20260624,12.76,0.1865,0.5189,-0.144,"沪深300ETF",4.699
0.5908,"300ETF购3月4100",0.5089,0.5801,0.5896,1932,4.1,11,0,-0.17,20260325,7.67,0.9642,0.211,-0.1053,"沪深300ETF",4.699
0.6911,"300ETF购12月4009A",0.6068,0.6812,0.6896,1139,4.009,-3,0,0.02,20251224,6.8,1,0,-0.0524,"沪深300ETF",4.699
0.8097,"300ETF购12月3900",0.707,0.7905,0.7993,1805,3.9,18,75.78,0.23,20251224,5.8,1,0,-0.051,"沪深300ETF",4.699
0.026,"300ETF购6月5750",0.0232,0.0254,0.0265,4394,5.75,714,19.24,22.92,20260624,7.75,0.0429,0.1765,-0.0478,"沪深300ETF",4.699
0.6935,"300ETF购12月4000",0.6036,0.6905,0.6989,1931,4,28,0,-0.12,20251224,6.78,1,0,-0.0523,"沪深300ETF",4.699
0.7881,"300ETF购12月3912A",0.703,0.7785,0.7873,658,3.912,0,25,0.02,20251224,5.96,1,0,-0.0511,"沪深300ETF",4.699
0.8955,"300ETF购12月3814A",0.7809,0.8765,0.8856,680,3.814,-2,82.81,0.22,20251224,5.25,1,0,-0.0498,"沪深300ETF",4.699
0.6866,"300ETF购3月4000",0.594,0.6728,0.6864,1299,4,1,0,-0.26,20260325,6.73,0.9827,0.1149,-0.0805,"沪深300ETF",4.699
0.899,"300ETF购12月3800",0.7976,0.8902,0.8994,373,3.8,1,0,0,20251224,5.23,1,0,-0.0497,"沪深300ETF",4.699
0.0424,"300ETF购6月5500",0.0388,0.0424,0.043,6362,5.5,-397,18.31,17.95,20260624,10.47,0.0945,0.3256,-0.089,"沪深300ETF",4.699
0.9817,"300ETF购12月3716A",0.891,0.9739,0.9835,391,3.716,51,0,-0.03,20251224,4.79,1,0,-0.0486,"沪深300ETF",4.699
0.9977,"300ETF购12月3700",0.8996,0.9901,0.9998,386,3.7,-4,0,-0.03,20251224,4.71,1,0,-0.0484,"沪深300ETF",4.699
0.7789,"300ETF购3月3900",0.6922,0.7668,0.782,1321,3.9,3,0,-0.43,20260325,5.99,0.9925,0.0557,-0.0646,"沪深300ETF",4.699
1.082,"300ETF购12月3618A",0.9888,1.0717,1.0816,769,3.618,19,25,0.02,20251224,4.34,1,0,-0.0473,"沪深300ETF",4.699
1.0977,"300ETF购12月3600",1.0108,1.09,1.1,536,3.6,1,0,-0.03,20251224,4.28,1,0,-0.047,"沪深300ETF",4.699
1.18,"300ETF购12月3520A",1.0867,1.1695,1.18,586,3.52,14,50,0.02,20251224,3.98,1,0,-0.046,"沪深300ETF",4.699
1.2007,"300ETF购12月3500",1.1087,1.1895,1.2001,815,3.5,-11,76.56,0.04,20251224,3.91,1,0,-0.0457,"沪深300ETF",4.699
0.8788,"300ETF购3月3800",0.7863,0.8631,0.879,1911,3.8,6,0,-0.43,20260325,5.33,0.9971,0.0238,-0.0554,"沪深300ETF",4.699
1.277,"300ETF购12月3423A",1.1913,1.2663,1.2773,492,3.423,-8,50,0.02,20251224,3.68,1,0,-0.0447,"沪深300ETF",4.699
0.971,"300ETF购3月3700",0.8859,0.961,0.9774,1734,3.7,-14,0,-0.6,20260325,4.83,0.999,0.0089,-0.0504,"沪深300ETF",4.699
0.0007,"300ETF购12月5000",0.0007,0.0007,0.0009,27214,5,-1116,19.14,6.42,20251224,21.48,0.0032,0.0915,-0.0236,"沪深300ETF",4.699
0.0033,"300ETF沽3月3700",0.0033,0.0033,0.0034,9800,3.7,1030,22.36,21.33,20260325,1.28,-0.0009,0.0089,-0.0021,"沪深300ETF",4.699
0.0002,"300ETF沽12月3600",0.0002,0.0001,0.0002,14340,3.6,-2,62.5,23.39,20251224,0,0,0,0,"沪深300ETF",4.699
0.0001,"300ETF沽12月3500",0.0001,0.0001,0.0002,15503,3.5,-1,62.5,25.52,20251224,0,0,0,0,"沪深300ETF",4.699
0.0002,"300ETF沽12月3912A",0.0002,0.0001,0.0003,1063,3.912,17,43.75,16.75,20251224,0,0,0,0,"沪深300ETF",4.699
0.0002,"300ETF沽12月3520A",0.0003,0.0002,0.0003,7839,3.52,0,65.63,25.09,20251224,0,0,0,0,"沪深300ETF",4.699
1.0944,"300ETF沽3月5750",1.1562,1.0722,1.0887,778,5.75,-3,34.57,0.92,20260325,4.26,-0.9929,0.0522,0.0612,"沪深300ETF",4.699
0.0045,"300ETF沽3月3800",0.0048,0.0043,0.0045,11262,3.8,1941,21.24,19.23,20260325,2.92,-0.0028,0.0238,-0.0058,"沪深300ETF",4.699
1.0932,"300ETF沽6月5750",1.1113,1.0979,1.113,5321,5.75,15,26.73,0.9,20260624,4.11,-0.957,0.1765,0.027,"沪深300ETF",4.699
0.865,"300ETF沽6月5500",0.95,0.868,0.8826,2143,5.5,3,24.84,1.36,20260624,4.92,-0.9054,0.3256,-0.0175,"沪深300ETF",4.699
0.8311,"300ETF沽3月5500",0.91,0.8306,0.8445,3041,5.5,0,27.03,0.64,20260325,5.49,-0.971,0.1767,0.0247,"沪深300ETF",4.699
1.0358,"300ETF沽12月5750",1.1374,1.0498,1.0596,3349,5.75,-385,0,-0.32,20251224,4.54,-0.9999,0,0.0753,"沪深300ETF",4.699
0.8076,"300ETF沽12月5500",0.8876,0.7995,0.8084,2466,5.5,-621,61.91,0.14,20251224,5.82,-0.9999,0,0.072,"沪深300ETF",4.699
0.0077,"300ETF沽3月3900",0.0085,0.0076,0.0078,3821,3.9,-61,20.95,17.17,20260325,4.52,-0.0074,0.0557,-0.0137,"沪深300ETF",4.699
0.6533,"300ETF沽6月5250",0.6665,0.6481,0.6612,2655,5.25,0,23.49,2.18,20260624,5.85,-0.8134,0.5189,-0.0757,"沪深300ETF",4.699
0.4568,"300ETF沽6月5000",0.5295,0.4528,0.4619,2101,5,12,21.95,3.32,20260624,6.92,-0.6726,0.6982,-0.1329,"沪深300ETF",4.699
0.3882,"300ETF沽6月4900",0.442,0.383,0.3899,1438,4.9,31,21.59,3.98,20260624,7.31,-0.6039,0.7452,-0.1501,"沪深300ETF",4.699
0.592,"300ETF沽3月5250",0.6752,0.6022,0.6083,4654,5.25,3,22.95,0.87,20260325,7.18,-0.9051,0.4523,-0.0531,"沪深300ETF",4.699
0.5489,"300ETF沽12月5250",0.6355,0.5501,0.5578,2043,5.25,-32,0,-0.04,20251224,8.56,-0.9999,0,0.0687,"沪深300ETF",4.699
0.5573,"300ETF沽1月5250",0.645,0.5653,0.5693,659,5.25,479,22.83,0.13,20260128,8.27,-0.9803,0.1933,0.0179,"沪深300ETF",4.699
0.323,"300ETF沽6月4800",0.3755,0.3181,0.3245,743,4.8,41,21.12,4.72,20260624,7.71,-0.5303,0.7694,-0.1616,"沪深300ETF",4.699
0.2125,"300ETF沽6月4600",0.2492,0.2091,0.2134,1389,4.6,-18,20.47,6.63,20260624,8.36,-0.378,0.7353,-0.1635,"沪深300ETF",4.699
0.2604,"300ETF沽6月4700",0.3068,0.2603,0.265,1016,4.7,-25,20.46,5.52,20260624,8.19,-0.4541,0.7665,-0.1663,"沪深300ETF",4.699
0.3864,"300ETF沽3月5000",0.4561,0.3819,0.3896,9417,5,4,21.48,1.82,20260325,9.21,-0.7571,0.8383,-0.1641,"沪深300ETF",4.699
0.0757,"300ETF沽6月4200",0.0895,0.0744,0.0753,2321,4.2,-207,20.26,12.23,20260624,7.92,-0.1276,0.4041,-0.0954,"沪深300ETF",4.699
0.311,"300ETF沽3月4900",0.3753,0.3049,0.3111,7565,4.9,78,20.74,2.34,20260325,10.14,-0.671,0.9691,-0.204,"沪深300ETF",4.699
0.1675,"300ETF沽6月4500",0.1967,0.165,0.168,2315,4.5,-11,20.24,7.8,20260624,8.55,-0.3048,0.6774,-0.1537,"沪深300ETF",4.699
0.1285,"300ETF沽6月4400",0.1522,0.1283,0.1307,2492,4.4,-36,20,9.1,20260624,8.68,-0.2374,0.5978,-0.1378,"沪深300ETF",4.699
0.0992,"300ETF沽6月4300",0.1198,0.0993,0.1,4688,4.3,378,20.09,10.6,20260624,8.42,-0.1778,0.5038,-0.1176,"沪深300ETF",4.699
0.0117,"300ETF沽3月4000",0.0142,0.0116,0.012,5503,4,-979,20.26,15.12,20260325,6.91,-0.0172,0.1149,-0.0283,"沪深300ETF",4.699
0.33,"300ETF沽1月5000",0.3988,0.3225,0.329,620,5,180,20.48,0.62,20260128,12.4,-0.8708,0.8561,-0.1621,"沪深300ETF",4.699
0.241,"300ETF沽3月4800",0.296,0.2406,0.241,9522,4.8,-1623,19.92,2.98,20260325,11.16,-0.5726,1.0511,-0.232,"沪深300ETF",4.699
0.3078,"300ETF沽12月5000",0.3842,0.3025,0.3077,5900,5,-232,30.18,0.14,20251224,15.22,-0.9967,0.0915,0.0418,"沪深300ETF",4.699
0.1793,"300ETF沽3月4700",0.2285,0.1765,0.1795,7486,4.7,44,19.2,3.79,20260325,12.25,-0.4673,1.0654,-0.2428,"沪深300ETF",4.699
0.242,"300ETF沽1月4900",0.3128,0.2356,0.2404,2877,4.9,935,18.52,0.87,20260128,14.98,-0.7716,1.2293,-0.2651,"沪深300ETF",4.699
0.0178,"300ETF沽3月4100",0.0229,0.0177,0.0182,7289,4.1,880,19.7,13.13,20260325,9.42,-0.0357,0.211,-0.0518,"沪深300ETF",4.699
0.1297,"300ETF沽3月4600",0.1705,0.1293,0.1298,8962,4.6,409,18.84,4.87,20260325,13.12,-0.3621,1.0045,-0.2343,"沪深300ETF",4.699
0.0275,"300ETF沽3月4200",0.0365,0.027,0.0276,7002,4.2,-303,19.29,11.2,20260325,11.45,-0.067,0.3481,-0.085,"沪深300ETF",4.699
0.091,"300ETF沽3月4500",0.1211,0.0893,0.091,7007,4.5,-31,18.69,6.17,20260325,13.66,-0.2645,0.8769,-0.208,"沪深300ETF",4.699
0.0419,"300ETF沽3月4300",0.0566,0.0412,0.0419,11326,4.3,873,18.99,9.38,20260325,12.85,-0.1146,0.5193,-0.1259,"沪深300ETF",4.699
0.0624,"300ETF沽3月4400",0.084,0.0612,0.0625,6577,4.4,-278,18.77,7.69,20260325,13.61,-0.1807,0.7051,-0.1693,"沪深300ETF",4.699
0.2096,"300ETF沽12月4900",0.2859,0.2041,0.2118,3914,4.9,-1445,23.93,0.18,20251224,21.67,-0.9664,0.7032,-0.1183,"沪深300ETF",4.699
0.1637,"300ETF沽1月4800",0.2254,0.1624,0.1634,6158,4.8,2328,17.03,1.33,20260128,18.29,-0.637,1.5253,-0.3503,"沪深300ETF",4.699
0.0004,"300ETF沽12月4000",0.0006,0.0003,0.0005,13849,4,-36,42.19,14.88,20251224,0,0,0,0,"沪深300ETF",4.699
0.0004,"300ETF沽12月4009A",0.0006,0.0004,0.0005,3094,4.009,-54,41.41,14.69,20251224,0,0,0,0,"沪深300ETF",4.699
0.1007,"300ETF沽1月4700",0.1524,0.1007,0.101,19050,4.7,3646,16.14,2.12,20260128,22.37,-0.4793,1.6198,-0.3851,"沪深300ETF",4.699
0.0578,"300ETF沽1月4600",0.0938,0.0575,0.0578,19409,4.6,1816,16.06,3.34,20260128,26.16,-0.3218,1.4575,-0.3536,"沪深300ETF",4.699
0.1138,"300ETF沽12月4800",0.187,0.1129,0.1138,18097,4.8,523,17.33,0.27,20251224,33.88,-0.8206,2.4676,-0.5815,"沪深300ETF",4.699
0.0044,"300ETF沽1月4200",0.0075,0.0043,0.0045,9964,4.2,1775,18.75,10.71,20260128,14.74,-0.0138,0.1441,-0.036,"沪深300ETF",4.699
0.0004,"300ETF沽12月4107A",0.0007,0.0004,0.0005,2509,4.107,-36,35.94,12.61,20251224,0,0,0,0,"沪深300ETF",4.699
0.0303,"300ETF沽1月4500",0.0535,0.0303,0.0305,27556,4.5,-5055,16.19,4.88,20260128,29.26,-0.1887,1.099,-0.2701,"沪深300ETF",4.699
0.0152,"300ETF沽1月4400",0.0286,0.0152,0.0156,19328,4.4,2924,16.63,6.69,20260128,29.28,-0.0947,0.6862,-0.1701,"沪深300ETF",4.699
0.008,"300ETF沽1月4300",0.0151,0.0076,0.008,12587,4.3,2506,17.58,8.66,20260128,23.44,-0.0399,0.3502,-0.0873,"沪深300ETF",4.699
0.0001,"300ETF沽12月3900",0.0002,0.0001,0.0003,12396,3.9,-46,40.63,17.01,20251224,0,0,0,0,"沪深300ETF",4.699
0.0001,"300ETF沽12月3800",0.0002,0.0001,0.0002,12319,3.8,-67,46.88,19.13,20251224,0,0,0,0,"沪深300ETF",4.699
0.0001,"300ETF沽12月3700",0.0003,0.0001,0.0002,8467,3.7,16,50,21.26,20251224,0,0,0,0,"沪深300ETF",4.699
0.0001,"300ETF沽12月3814A",0.0003,0.0001,0.0003,1684,3.814,10,46.88,18.84,20251224,0,0,0,0,"沪深300ETF",4.699
0.0001,"300ETF沽12月3716A",0.0003,0.0001,0.0002,2492,3.716,4,50,20.92,20251224,0,0,0,0,"沪深300ETF",4.699
0.0001,"300ETF沽12月3618A",0.0003,0.0001,0.0003,3725,3.618,-1,56.25,23.01,20251224,0,0,0,0,"沪深300ETF",4.699
0.0003,"300ETF沽12月4100",0.0007,0.0003,0.0004,11295,4.1,61,35.16,12.75,20251224,0,0,0,0,"沪深300ETF",4.699
0.0409,"300ETF沽12月4700",0.0975,0.0408,0.0409,71671,4.7,22434,14.79,0.85,20251224,56.77,-0.4941,3.7599,-0.9344,"沪深300ETF",4.699
0.0005,"300ETF沽12月4300",0.0014,0.0004,0.0006,20169,4.3,-104,25.39,8.5,20251224,0,0,0.0015,-0.0003,"沪深300ETF",4.699
0.0005,"300ETF沽12月4303A",0.0013,0.0003,0.0005,7099,4.303,-409,25,8.44,20251224,0,0,0.0017,-0.0003,"沪深300ETF",4.699
0.0004,"300ETF沽12月4205A",0.0012,0.0004,0.0005,3699,4.205,-102,29.69,10.52,20251224,0,0,0,0,"沪深300ETF",4.699
0.0003,"300ETF沽12月4200",0.001,0.0003,0.0004,13895,4.2,-442,29.69,10.63,20251224,0,0,0,0,"沪深300ETF",4.699
0.01,"300ETF沽12月4600",0.035,0.01,0.0101,86046,4.6,-1781,15.53,2.32,20251224,78.29,-0.1666,2.3557,-0.5944,"沪深300ETF",4.699
0.0008,"300ETF沽12月4400",0.0031,0.0006,0.0009,26876,4.4,-3561,20.7,6.38,20251224,9.4,-0.0016,0.0505,-0.0128,"沪深300ETF",4.699
0.0024,"300ETF沽12月4500",0.0095,0.0024,0.0025,50189,4.5,-3538,17.68,4.29,20251224,51.1,-0.0261,0.5721,-0.1452,"沪深300ETF",4.699
0.0016,"500ETF购12月7750",0.0005,0.0014,0.0016,20405,7.75,1565,21.09,6.79,20251224,73.5,0.0162,0.1844,-0.2042,"中证500ETF",7.259
0.0078,"500ETF购12月7500",0.0034,0.0078,0.008,79637,7.5,-5205,16.5,3.43,20251224,135.59,0.1457,1.0413,-1.1588,"中证500ETF",7.259
0.0686,"500ETF购12月7250",0.03,0.0686,0.0687,82529,7.25,-52561,14.67,0.82,20251224,55.68,0.5262,1.813,-2.0427,"中证500ETF",7.259
0.0011,"500ETF购12月8000",0.0009,0.0008,0.0012,15458,8,-626,28.13,10.22,20251224,4.62,0.0007,0.0113,-0.0123,"中证500ETF",7.259
0.0137,"500ETF购1月8000",0.0069,0.0137,0.014,6787,8,567,18.41,10.4,20260128,48.69,0.0919,0.3241,-0.3648,"中证500ETF",7.259
0.0285,"500ETF购1月7750",0.0151,0.0285,0.0288,14549,7.75,633,16.67,7.16,20260128,48.5,0.1904,0.5339,-0.6045,"中证500ETF",7.259
0.0082,"500ETF购1月8250",0.0047,0.0082,0.0086,12254,8.25,3721,20.65,13.76,20260128,34.08,0.0385,0.1643,-0.1841,"中证500ETF",7.259
0.2596,"500ETF购12月7000",0.1532,0.2596,0.26,38794,7,-7236,0,0.01,20251224,24.88,0.8899,0.8572,-1.0237,"中证500ETF",7.259
0.0659,"500ETF购1月7500",0.039,0.0659,0.0668,21526,7.5,173,15.28,4.23,20260128,37.61,0.3414,0.7209,-0.8238,"中证500ETF",7.259
0.151,"500ETF购1月7250",0.0989,0.1507,0.151,31236,7.25,317,14.17,1.96,20260128,25.47,0.5298,0.7815,-0.907,"中证500ETF",7.259
0.0363,"500ETF购3月8250",0.0261,0.035,0.0364,6037,8.25,431,18.76,14.15,20260325,26.44,0.1322,0.2771,-0.3166,"中证500ETF",7.259
0.2956,"500ETF购1月7000",0.2133,0.2956,0.2963,17150,7,473,11.58,0.5,20260128,17.62,0.7174,0.6642,-0.7939,"中证500ETF",7.259
0.0248,"500ETF购3月8500",0.018,0.0243,0.0248,8050,8.5,246,19.97,17.44,20260325,23.8,0.0813,0.1948,-0.2215,"中证500ETF",7.259
0.0535,"500ETF购3月8000",0.0391,0.0518,0.0535,11360,8,196,17.36,10.95,20260325,27.71,0.2042,0.3669,-0.4218,"中证500ETF",7.259
0.085,"500ETF购3月7750",0.0623,0.0836,0.0859,10524,7.75,430,16.19,7.93,20260325,25.5,0.2986,0.4492,-0.5205,"中证500ETF",7.259
0.0182,"500ETF购3月8750",0.0135,0.0182,0.0196,17351,8.75,559,21.31,20.79,20260325,18.99,0.0476,0.1283,-0.1453,"中证500ETF",7.259
