"f2","f14","f18","f31","f32","f108","f161","f163","f249","f250","f301","f303","f325","f326","f328","f333","f334"
0.4316,"XD50ETF购12月2630A",0.3977,0.4251,0.4307,935,2.63,-74,55.08,0.12,20251224,7.09,1,0,-0.0343,"XD上证50ETF",3.058
0.3864,"XD50ETF购3月2679A",0.3582,0.3808,0.3902,894,2.679,-15,0,0.24,20260325,7.74,0.9777,0.2521,-0.0545,"XD上证50ETF",3.058
0.3184,"XD50ETF购6月2776A",0.2946,0.318,0.3261,1054,2.776,-66,12.78,1.19,20260624,8.37,0.8716,0.7194,-0.0894,"XD上证50ETF",3.058
0.0342,"XD50ETF购6月3507A",0.0315,0.0331,0.0342,6354,3.507,-39,17.85,15.8,20260624,8.39,0.0938,0.5743,-0.0504,"XD上证50ETF",3.058
0.215,"XD50ETF购6月2923A",0.199,0.2116,0.2214,1445,2.923,130,14.26,2.62,20260624,10.29,0.7233,1.1479,-0.1199,"XD上证50ETF",3.058
0.4316,"XD50ETF购3月2630A",0.4065,0.4303,0.4368,2259,2.63,-5,0,0.12,20260325,7,0.9886,0.1419,-0.0454,"XD上证50ETF",3.058
0.5842,"XD50ETF购12月2484A",0.551,0.5702,0.5764,339,2.484,-12,90.43,0.33,20251224,5.23,1,0,-0.0324,"XD上证50ETF",3.058
0.6231,"XD50ETF购12月2435A",0.599,0.6193,0.6258,681,2.435,-40,0,0,20251224,4.91,1,0,-0.0318,"XD上证50ETF",3.058
0.0004,"XD50ETF购12月3410A",0.0004,0.0003,0.0004,28092,3.41,-648,30.47,11.52,20251224,0,0,0,0,"XD上证50ETF",3.058
0.0001,"XD50ETF沽12月2533A",0.0001,0.0001,0.0002,10235,2.533,-256,43.75,17.17,20251224,0,0,0,0,"XD上证50ETF",3.058
0.0001,"XD50ETF沽12月2484A",0.0002,0.0001,0.0003,20948,2.484,-259,50,18.77,20251224,0,0,0,0,"XD上证50ETF",3.058
0.1783,"XD50ETF购6月2950",0.184,0.195,0.2048,15,2.95,"-",11.8,2.3,20260624,11.84,0.6902,1.2098,-0.1238,"XD上证50ETF",3.058
0.3609,"XD50ETF沽1月3400",0.3782,0.3413,0.3469,2,3.4,"-",28.96,0.62,20260128,8.38,-0.9886,0.2135,0.0266,"XD上证50ETF",3.058
0.3195,"XD50ETF沽6月3312A",0.3455,0.3031,0.3132,2893,3.312,1,19.8,2.14,20260624,7.31,-0.7634,1.0576,-0.0521,"XD上证50ETF",3.058
0.0058,"XD50ETF沽3月2630A",0.0064,0.0057,0.006,20773,2.63,-15,18.16,14.19,20260325,5.96,-0.0113,0.1419,-0.011,"XD上证50ETF",3.058
0.4526,"XD50ETF沽1月3507A",0.49,0.447,0.4531,373,3.507,-48,26.56,0.12,20260128,6.75,-0.9984,0.0356,0.0429,"XD上证50ETF",3.058
0.4522,"XD50ETF沽3月3507A",0.4973,0.4492,0.4599,1798,3.507,-10,19.82,0.1,20260325,6.57,-0.9715,0.3091,0.0194,"XD上证50ETF",3.058
0.4689,"XD50ETF沽6月3507A",0.5181,0.4683,0.4782,2374,3.507,1,19.46,0.65,20260624,5.91,-0.9061,0.5743,-0.0048,"XD上证50ETF",3.058
0.2277,"XD50ETF沽6月3200",0.2467,0.2203,0.2303,154,3.2,"-",17.9,2.8,20260624,8.59,-0.6393,1.2839,-0.0766,"XD上证50ETF",3.058
0.3724,"XD50ETF沽6月3400",0.4055,0.3753,0.3854,29,3.4,"-",18.02,0.99,20260624,6.89,-0.8395,0.836,-0.03,"XD上证50ETF",3.058
0.3643,"XD50ETF沽3月3410A",0.4102,0.3613,0.3704,3295,3.41,-19,19.26,0.4,20260325,7.83,-0.9327,0.6181,-0.0085,"XD上证50ETF",3.058
0.2946,"XD50ETF沽6月3300",0.323,0.294,0.3041,150,3.3,"-",17.75,1.72,20260624,7.8,-0.7515,1.0861,-0.0551,"XD上证50ETF",3.058
0.3798,"XD50ETF沽6月3410A",0.4321,0.3838,0.3938,1565,3.41,0,17.94,0.91,20260624,6.82,-0.8469,0.8104,-0.0275,"XD上证50ETF",3.058
0.35,"XD50ETF沽3月3400",0.3848,0.3526,0.3616,17,3.4,"-",17.75,0.26,20260325,8.1,-0.927,0.6583,-0.0121,"XD上证50ETF",3.058
0.3427,"XD50ETF沽12月3400",0.3782,0.3394,0.3446,58,3.4,"-",36.72,0.02,20251224,8.92,-0.9999,0,0.0445,"XD上证50ETF",3.058
0.2354,"XD50ETF沽6月3215A",0.2704,0.2309,0.2408,2295,3.215,-18,17.66,2.56,20260624,8.54,-0.6575,1.2601,-0.0738,"XD上证50ETF",3.058
0.4365,"XD50ETF沽12月3507A",0.5012,0.446,0.4517,1823,3.507,-163,0,-0.41,20251224,7.01,-0.9999,0,0.0459,"XD上证50ETF",3.058
0.1733,"XD50ETF沽6月3117A",0.2009,0.1669,0.1766,1503,3.117,-73,17.36,3.74,20260624,9.39,-0.5323,1.3638,-0.0881,"XD上证50ETF",3.058
0.2666,"XD50ETF沽3月3300",0.2965,0.2639,0.2726,232,3.3,"-",17.79,0.8,20260325,9.71,-0.8462,1.1261,-0.0547,"XD上证50ETF",3.058
0.2778,"XD50ETF沽3月3312A",0.318,0.2734,0.2822,3839,3.312,9,18.13,0.78,20260325,9.45,-0.8583,1.0656,-0.0491,"XD上证50ETF",3.058
0.1619,"XD50ETF沽6月3100",0.1807,0.1568,0.162,95,3.1,"-",17.13,3.92,20260624,9.62,-0.5094,1.3679,-0.0895,"XD上证50ETF",3.058
0.348,"XD50ETF沽1月3410A",0.405,0.3514,0.357,1158,3.41,-63,15.23,-0.13,20260128,8.7,-0.9904,0.1838,0.0292,"XD上证50ETF",3.058
0.2477,"XD50ETF沽1月3300",0.2779,0.2441,0.2493,589,3.3,"-",17.97,0.19,20260128,11.7,-0.9475,0.7713,-0.0218,"XD上证50ETF",3.058
0.26,"XD50ETF沽1月3312A",0.3009,0.2553,0.2606,1861,3.312,16,18.75,0.2,20260128,11.24,-0.9556,0.6752,-0.0135,"XD上证50ETF",3.058
